id,name,type,league
ABe,Achim Beierlorzer,1,1
ABr,André Breitenreiter,1,1
ACo,Ante Covic,1,1
AHi,Andreas Hinkel,1,1
AJo,Andries Jonker,1,1
ANo,Alexander Nouri,1,1
APa,André Pawlak,1,1
AR,Armin Reutershahn,1,1
AS,Alfred Schreuder,1,1
ASc,Andre Schubert,1,1
AVe,Armin Veh,1,1
AZo,Alexander Zorniger,1,1
B04,Bayer 04 Leverkusen,2,1
BHo,Bernd Hollerbach,1,1
BLab,Bruno Labbadia,1,1
BMG,Borussia Mönchengladbach,2,1
BS,Bo Svennson,1,1
BSC,Hertha BSC,2,1
BSch,Boris Schommers,1,1
BVB,Borussia Dortmund,2,1
BVM,Bert van Marwijk,1,1
CG,Christian Gross,1,1
CSt,Christian Streich,1,1
CT,Christian Titz,1,1
DaSt,Daniel Stendel,1,1
DGr,Dimitrios Grammozis,1,1
DH,Dieter Hecking,1,1
DSC,Arminia Bielefeld,2,1
DSch,Dirk Schuster,1,1
DT,Domenico Tedesco,1,1
DTo,Dino Toppmöller,1,1
DWa,David Wagner,1,1
EnMa,Enrico Maaßen,1,1
ETe,Edin Terzic,1,1
F95,Fortuna Düsseldorf,2,1
FCA,FC Augsburg,2,1
FCB,FC Bayern München,2,1
FCI,FC Ingolstadt 04,2,1
FCK,1. FC Köln,2,1
FCKa,1. FC Kaiserslautern,2,1
FCN,1. FC Nürnberg,2,1
FF,Friedhelm Funkel,1,1
FKo,Florian Kohfeldt,1,1
FKr,Frank Kramer,1,1
FS,Frank Schaefer,1,1
FSVM,1. FSV Mainz 05,2,1
GS,Gerardo Seoane,1,1
GV,Gertjan Verbeek,1,1
H96,Hannover 96,2,1
HF,Hansi Flick,1,1
HH,Heiko Herrlich,1,1
HS,Huub Stevens,1,1
HSt,Holger Stanislawski,1,1
HSV,Hamburger SV,2,1
HW,Hannes Wolf,1,1
JH,Jupp Heynckes,1,1
JK,Jens Keller,1,1
JKl,Jürgen Klinsmann,1,1
JKr,Jürgen Kramny,1,1
JLu,Jos Luhukay,1,1
JML,Jan Moritz Lichte,1,1
JN,Julian Nagelsmann,1,1
JZ,Josef Zinnbauer,1,1
KBa,Krasimir Balakov,1,1
KH,Kasper Hjulmand,1,1
LGK,Lorenz-Günther Köstner,1,1
LPr,Ludwig Preis,1,1
MBa,Manuel Baum,1,1
MBab,Markus Babbel,1,1
MBü,Mike Büskens,1,1
MF,Michael Frontzeck,1,1
MG,Markus Gisdol,1,1
MHe,Michael Henke,1,1
MK,Michael Köllner,1,1
MKau,Markus Kauczinski,1,1
MKo,Marco Kostmann,1,1
MKu,Marco Kurz,1,1
MOe,Michael Oenning,1,1
MR,Marco Rose,1,1
MRa,Marcel Rapp,1,1
MSc,Martin Schmidt,1,1
MSch,Manfred Schmid,1,1
MSk,Michael Skibbe,1,1
MSl,Mirko Slomka,1,1
MSo,Marcus Sorg,1,1
MvB,Mark van Bommel,1,1
MW,Markus Weinzierl,1,1
MWa,Maik Walpurgis,1,1
MWi,Michael Wimmer,1,1
MWie,Michael Wiesinger,1,1
NM,Norbert Meier,1,1
NW,Nico Willig,1,1
OG,Oliver Glasner,1,1
OR,Otto Rehhagel,1,1
PD,Pal Dardai,1,1
PGu,Pep Guardiola,1,1
PKn,Peter Knäbel,1,1
PM,Pellegrino Matarazzo,1,1
PSt,Peter Stöger,1,1
RBer,Ramon Berndroth,1,1
RBL,RB Leipzig,2,1
RC,Rodolfo Cardoso,1,1
RDu,Robin Dutt,1,1
RoS,Roger Schmidt,1,1
RPr,Roger Prinzen,1,1
RR,Ralf Rangnick,1,1
RW,Rainer Widmayer,1,1
S04,Schalke 04,2,1
SB,Steffen Baumgart,1,1
SCF,SC Freiburg,2,1
SGE,Eintracht Frankfurt,2,1
SGF,SpVgg Greuther Fürth,2,1
SH,Sebastian Hoeneß,1,1
SHy,Sami Hyypiä,1,1
SLe,Sascha Lewandowski,1,1
SOL,Stale Solbakken,1,1
SR,Stefan Ruthenbeck,1,1
SS,Sandro Schwarz,1,1
SVD,SV Darmstadt 98,2,1
SVW,SV Werder Bremen,2,1
TD,Thomas Doll,1,1
TF,Thorsten Fink,1,1
TFr,Torsten Frings,1,1
TK,Tayfun Korkut,1,1
TL,Thomas Letsch,1,1
TR,Thomas Reis,1,1
TS,Thomas Schaaf,1,1
TSch,Thomas Schneider,1,1
TSGH,TSG Hoffenheim,2,1
UN,Uwe Neuhaus,1,1
